cleaned_up_drug	class_umls
HER2Pembrolizumab	
IsatuximabSAR650984	
HPN536	
Teysunoepirubicinoxaliplatin	
BGB-290	
BGB-290	
BGB-290	
AT-101	
Temsirolimus	Protein kinase inhibitors|ANTINEOPLASTIC,OTHER|mTOR Inhibitors|Protein Kinase Inhibitors|Kinase Inhibitor
Temsirolimus	Protein kinase inhibitors|ANTINEOPLASTIC,OTHER|mTOR Inhibitors|Protein Kinase Inhibitors|Kinase Inhibitor
MEK162	
MEK162	
MEK162	
MEK162	
Selicrelumab	
Selicrelumab	
Vanucizumab	
Vanucizumab	
GPX-150	
dovitinibTKI258	
VAX014	
AZD4547	
AZD4547	
AZD4547	
phenoxodiol	
PSMA/PRAME	
SunitinibmalateSU011248	
PLX4032	
PLX4032	
PLX4032	
PLX4032	
custirsensodium	
Nerofehormon-peptideTCApFsuppressive	
APG-1387	
APG-1387	
APG-1387	
Enadenotucirev	
M6620	
PR104	
PR104	
PR104	
CapecitabineXeloda	
INCB052793	
Carfilzomib	Proteasome Inhibitors|Other antineoplastic agents|Proteasome Inhibitor|ANTINEOPLASTIC,OTHER
Carfilzomib	Proteasome Inhibitors|Other antineoplastic agents|Proteasome Inhibitor|ANTINEOPLASTIC,OTHER
INCB050465	
INCB039110	
INCB039110	
INCB039110	
Dovitinib	
CC-486	
gilteritinib	ANTINEOPLASTIC,OTHER
14C-labeledgilteritinib	
ABN401-Escalation	
ABN401-	
enzastaurin	
Selumetinib	
BDB001	
NOV1501ABL001	
AT-101	
STA-5312	
STA-5312	
PF-06821497	
PF-06821497	
PF-06821497	
Durvalumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
HER-2/neupeptidevaccine	
ABBV-075	
BBI503	
CKD-516	
CKD-516	
AZD4205	
AZD4205	
AZD4205	
BGB-283lifirafenib	
PD-0325901	
PD-0325901	
PD-0325901	
PD-0325901	
SBP-101	
PDC*lung01	
KeytrudaInjectable	
AlimtaInjectable	
Alisertib	
Olaparib	Other antineoplastic agents|Poly(ADP-Ribose) Polymerase Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Poly(ADP-Ribose) Polymerase Inhibitor
Osimertinib	Protein kinase inhibitors|ANTINEOPLASTIC,OTHER|Cytochrome P450 3A Inhibitors|Breast Cancer Resistance Protein Inhibitors|Cytochrome P450 1A2 Inducers|Kinase Inhibitor|Cytochrome P450 3A4 Inducers|Kinase Inhibitors
Alisertib	
Obatoclaxmesylate	
mg/m2NKTR	
mg/m2NKTR	
mg/m2NKTR	
BMS-986207	
FostamatinibPaclitaxel	
tumor-specificTCR-T	
DS-8273a	
AZD9150	
AZD9150	
AZD9150	
AZD5069	
AZD5069	
AZD5069	
AZD5069	
AZD5069	
tremelimumabtreme	
DS-3032	
DS-3032	
DS-3032	
GRN163Ltrastuzumab	
AT13387	
AT13387	
AT13387	
abiraterone	Other hormone antagonists and related agents|Cytochrome P450 2C8 Inhibitors|Cytochrome P450 17A1 Inhibitors|ANTINEOPLASTIC HORMONES|Cytochrome P450 2D6 Inhibitors|Cytochrome P450 17A1 Inhibitor
Allogeneic	
AR-12	
AR-12	
AR-12	
AR-12	
mRNA-2416	
M7583	
LiposomalDoxorubicin	
Albumin-boundpaclitaxel	
Debio	
BBI503	
GL-ONC1	
ASTX727	
Pyrotinib	
SHR6390	
BBI608	
ZactimaZD6474	
Vinorelbinecisplatin	
Gemcitabinecisplatin	
ganitumab	
ABT-888mFOLFOX-6	
TBI-1301	
TAPA-pulsedvaccine	
BMS-833923	
BMS-833923	
CetuximabGefitinib	
TRK-950	
Avelumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
Hsp90Inhibitor	
LDE225	
LDE225	
DebioAT-406	
GDC-0032	
GDC-0032	
Olaparib	Other antineoplastic agents|Poly(ADP-Ribose) Polymerase Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Poly(ADP-Ribose) Polymerase Inhibitor
Durvalumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
IDC-G305	
MotexafinGadolinium	
H3B-6545	
ABT-510	
ABT-510	
Relatlimab	
Gefitinibcapecitabine	
AnetumabravtansineBAY94-9343	
CRLX101	
CRLX101	
MVT-2163	
MVT-5873	
ATP128	
LJM716	
VTX-2337	
VTX-2337	
Olaparib	Other antineoplastic agents|Poly(ADP-Ribose) Polymerase Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Poly(ADP-Ribose) Polymerase Inhibitor
UB-921	
rHSA/GCSF	
Durvalumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
Pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
DivalproexSodium	
2-hydroxyflutamide2-HOFLiproca	
FPA008	
G1T38	
G1T38	
Osimertinib	Protein kinase inhibitors|ANTINEOPLASTIC,OTHER|Cytochrome P450 3A Inhibitors|Breast Cancer Resistance Protein Inhibitors|Cytochrome P450 1A2 Inducers|Kinase Inhibitor|Cytochrome P450 3A4 Inducers|Kinase Inhibitors
BMS-833923	
BMS-833923	
BombesinBAY86-7548	
RadiumdichlorideXofigoBAY88-8223	
CTT1057	
CTT1057	
CTT1057	
CTT1057	
TGR-1202	
TGR-1202	
TGR-1202	
TGR-1202	
TGR-1202	
TGR-1202	
TGR-1202	
nab-paclitaxelgemcitabine	
OxaliplatinFolinicFluorouracil	
OxaliplatinFolinicFluorouracilBevacizumab	
INCAGN02390	
MEDI0457	
Durvalumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
M200Volociximab	
LiposomalDoxorubicin	
LBH589PaclitaxelCarboplatinBevacizumab	
ABBV-927	
ABBV-368	
ABBV-181	
ABBV-181	
Satoreotidetetraxetan	
Satoreotidetrizoxetan	
Tepotinib	
Pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
Dovitinibdocetaxel	
Durvalumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
Onvansertib	
Cedazuridine	
Cedazuridine	
Cedazuridine	
avelumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
5-Fluorouracil5-FU	
Lovaza	ANTILIPEMIC AGENTS
Lovaza	ANTILIPEMIC AGENTS
ALT-803	
ALT-803	
ETBX-011	
ETBX-021	
ETBX-051	
ETBX-061	
GI-4000	
GI-4000	
GI-6207	
GI-6301	
haNK	
BMS-690514FOLFIRI	
BMS-690514FOLFOX	
XmAb14045	
XmAb14045	
CP-751,871carboplatinpaclitaxel	
Olaparib	Other antineoplastic agents|Poly(ADP-Ribose) Polymerase Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Poly(ADP-Ribose) Polymerase Inhibitor
MK-1496	
MK-1496	
MK-1496	
UCART19/ALLO-501	
CV9201	
Carfilzomib	Proteasome Inhibitors|Other antineoplastic agents|Proteasome Inhibitor|ANTINEOPLASTIC,OTHER
Carfilzomib	Proteasome Inhibitors|Other antineoplastic agents|Proteasome Inhibitor|ANTINEOPLASTIC,OTHER
ThermoDox®LTLD	
MRx0518	
nesvacumabREGN910/SAR307746	
Epacadostat	
IPH2201	
IPH2201	
PI-88	
PI-88	
Perifosine	
Perifosine	
EZN-2208	
EZN-2208	
Vorolanib	
Vorolanib	
Vorolanib	
Brivanib	
Brivanib	
SHR3680	
SHR2554	
SHR3680	
galinpepimut-S	
MK-5890	
Pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
VEGFinhibitorPTC299	
dHER2AS15ASCI	
CP-4055	
CP-4055	
DMXAAcarboplatinpaclitaxel	
Pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
Pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
FOLFOX6Avastin	
SDX-7320	
Pembrolizumab/Exemestane/Leuprolide	
pemetrexeddisodium	
gene	
protein	
transcriptase-polymerase	
BAY2287411	
Brivanib	
Brivanib	
Icaritin	
Icaritin	
Icaritin	
BevacizumabHerceptin	
CKD602	
LiposomeMitoxantrone	
Bi-Weekly	
EZN-2208	
EZN-2208	
DSP-7888	
BBI608	
ZD6474vandetanib	
pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
ZD6474vandetanib	
ChAdOx1-MVAvaccine	
NivolumabOpdivo	
LEQ506	
LEQ506	
Avelumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
Interferonalfa-2a	
Interferonalfa-2a	
ziv-aflibercept	Other antineoplastic agents|ANTINEOPLASTIC,OTHER|Vascular Endothelial Growth Factor Inhibitors|OPHTHALMICS,OTHER|Vascular Endothelial Growth Factor Inhibitor|Antineovascularisation agents
TEW-7197	
TEW-7197	
Chemotherapy	
LUM015	
MK2461	
MK2461	
MK2461	
MK2461	
MK2461	
MK2461	
NPI-0052marizomibvorinostat	
KU-0059436AZD2281PARPinhibitor	
LY2228820	
LY2228820	
rHuPH20	
rHuPH20	
pazopanib	Protein kinase inhibitors|ANTINEOPLASTIC,OTHER|Vascular Endothelial Growth Factor Receptor Inhibitors|Cytochrome P450 2C8 Inhibitors|Platelet-derived Growth Factor Receptor Inhibitors|Cytochrome P450 2D6 Inhibitors|Protein Kinase Inhibitors|Kinase Inhibitor|Cytochrome P450 3A4 Inhibitors
ziv-aflibercept	Other antineoplastic agents|ANTINEOPLASTIC,OTHER|Vascular Endothelial Growth Factor Inhibitors|OPHTHALMICS,OTHER|Vascular Endothelial Growth Factor Inhibitor|Antineovascularisation agents
111-Indium-CMD-193	
CMD-193	
CMD-193	
peptideGM-CSFvaccinetrastuzumab	
autologousgp96	
Adriamycin	Topoisomerase 2 Inhibitors|ANTINEOPLASTIC ANTIBIOTICS|Anthracycline Topoisomerase Inhibitor|Topoisomerase Inhibitors|Anthracyclines and related substances
Enadenotucirev	
UCPVax	
89Zr-DFO-MSTP2109A	
DFO-MSTP2109A	
Tumorfluorescence	
IMA201	
ONT-10Varlilumab	
pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
LCL161	
LCL161	
LCL161	
LCL161	
GCSFPEG-GCSF	
DCVac-L	
TP-0903	
TP-0903	
TP-0903	
LupartumabAmadotinBAY1129980	
TLK286cisplatin	
ABT-751	
ABT-751	
ABT-751	
pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
BAY1075553	
lapatinibvinorelbine	
TransgenicLymphocyteImmunizationVaccine	
Rivoceranib	
REGN4018	
cemiplimab	ANTINEOPLASTIC,OTHER
cemiplimab	ANTINEOPLASTIC,OTHER
interferon-gammanivolumab	
NOV140101IDX1197HCl	
HS-10241	
Valproic	
Pexidartinib	
Durvalumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
Radium-223dichlorideXofigoBAY88-8223	
KX2-391	
KX2-391	
KX2-391	
EIF4E	
APL-1202	
GemcitabineSorafenib	
KU-0059436AZD2281PARPinhibitor	
PBF-509_80	
PBF-509_160	
PBF-509_320	
PBF-509_640	
ComboPBF-509PDR001	
ComboPBF-509PDR001	
ComboPBF-509PDR001	
RP2DPBF-509+PDR001naïve	
Selumetinib	
Olaparib	Other antineoplastic agents|Poly(ADP-Ribose) Polymerase Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Poly(ADP-Ribose) Polymerase Inhibitor
PEG-BCT-100	
ToripalimabHumanizedanti-PD-1Antibody	
SN2310Injectable	
PF-03446962	
IMA202	
TRK-950	
ABBV-085	
MS201408-0005A	
MS201408-0005C	
MS201408-0005B	
MORAb-066	
AZD5363	
AZD5363	
AZD5363	
AzacitidineVidaza	
Nab-paclitaxelAbraxane	
CB-839	
CB-839	
CB-839	
Pac-CB	
CB-Erl	
CB-Cabo	
Avelumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
ACY-1215	
INCAGN02385	
ABR-217620	
ABR-217620	
TG01	
Prexasertib	
MM-310	
IMGN853	
LiposomalDoxorubicin	
Bevacizumab+Carboplatin	
Glumetinib	
Glumetinib	
Glumetinib	
Blood-stagevivax	
Torisel	Protein kinase inhibitors|ANTINEOPLASTIC,OTHER|mTOR Inhibitors|Protein Kinase Inhibitors|Kinase Inhibitor
IPI-504	
IPI-504	
LDE225	
LDE225	
BKM120	
BKM120	
GEN-1	
Radspherin	
F-627	
CapecitabineXeloda	
EGFR	
DS-1062a	
AZD2014AZD8186	
MobilanM-VM3	
EribulinCyclophosphamide	
MogamulizumabKW-0761	
FOLFOX6	
MKC-1	
MKC-1	
MKC-1	
RO6874281	
RO6874281	
RO6874281	
RO6874281	
PNT2258	
LBH589RAD001	
G1T38	
G1T38	
ASTX295	
BevacizumabAvastin	
ACIT-1	
GL-ONC1chemotherapybevacizumab	
Binimetinib	Protein kinase inhibitors|Protein Kinase Inhibitors|ANTINEOPLASTIC,OTHER
Tumor-InfiltratingLymphocytesTILs	
Interleukin-2IL-2	
CAR-T/TCR-Timmunotherapy	
ADI-PEG	
autologoustherapy	
IMA203	
MEDI7247	
INO-1400	
INO-9012	
INO-1401	
AZD9150	
AZD9150	
AZD9150	
Durvalumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
5-Flourouracil	
DTA-H19	
CDX-1140	
CDX-301	
FT500	
BGT226	
BGT226	
LDE225	
LDE225	
Wafarin	
MRX-2843	
Epacadostat	
Chemotherapy	
Epacadostat	
PM01183bevacizumab	
ARRY-334543EGFR/ErbB2inhibitor	
Gemcitabineintravenous	
capecitabine/oxaliplatin/bevacizumab/RAD001	
FOLFOX5-fluorouracilLeucovorinOxaliplatin	
LXH254	
LXH254	
LXH254	
LXH254	
LTT462	
MK-8628	
MK-8628	
FATE-NK100	
Avapritinib	
LY2875358	
LY2875358	
BPI-7711	
LenvatinibMesylate	
NexavarSorafenibirinotecanCampto	
hMN14labetuzumab	
Pazopanib	Protein kinase inhibitors|ANTINEOPLASTIC,OTHER|Vascular Endothelial Growth Factor Receptor Inhibitors|Cytochrome P450 2C8 Inhibitors|Platelet-derived Growth Factor Receptor Inhibitors|Cytochrome P450 2D6 Inhibitors|Protein Kinase Inhibitors|Kinase Inhibitor|Cytochrome P450 3A4 Inhibitors
INCB062079	
RegorafenibBAY73-4506	
MGA271	
TalabostatMesylatePembrolizumab	
ErlotinibRosuvastatin	
RC48-ADC	
Lapatinibcapecitabine	
CVX-060	
CVX-060	
CPI-006	
CPI-006CPI-444	
CPI-006pembrolizumab	
BCD-100	
NIS793	
PDR001	
PDR001	
PDR001	
PDR001	
Imx-110	
AK104	
PD-0332991T-DM1	
V941	
AfatinibRibavirincarboplatin/paclitaxel	
CC-486	
NS-9Poly	
NP-G2-044	
NP-G2-044	
Durvalumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
AUY922	
AUY922	
AUY922	
AUY922	
AUY922	
JNJ-64619178	
NEO-201	
TRC105	
NIR178	
TNO155	
Spartalizumab	
Spartalizumab	
Spartalizumab	
Avelumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
OBI-3424	
OBI-3424	
OBI-3424	
triapine	
triapine	
CVX-045	
CVX-045	
SNS-032	
SNS-032	
CNTO	
TEW-7197	
TEW-7197	
ridaforolimus	
ridaforolimus	
Enoblituzumab	
intoplicine	
CAB-AXL-ADC	
Camptothecincyclodextrin-basedpolymer	
triapine	
triapine	
Liposome-encapsulatedSN38	
HMPL-453	
EIF4E	
ADXS-503	
Tenalisib	
LUT014	
JTX-2011	
CART-TnMUC1	
MifepristoneEribulin	
MK-8776	
Pazopanib	Protein kinase inhibitors|ANTINEOPLASTIC,OTHER|Vascular Endothelial Growth Factor Receptor Inhibitors|Cytochrome P450 2C8 Inhibitors|Platelet-derived Growth Factor Receptor Inhibitors|Cytochrome P450 2D6 Inhibitors|Protein Kinase Inhibitors|Kinase Inhibitor|Cytochrome P450 3A4 Inhibitors
GSK2126458	
GSK2126458	
GSK2126458	
XilonixOnivyde	
Olaparib	Other antineoplastic agents|Poly(ADP-Ribose) Polymerase Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Poly(ADP-Ribose) Polymerase Inhibitor
BAY1000394	
BAY1000394	
BAY1000394	
BAY1000394	
BAY1000394	
BAY1000394	
REGN4659	
Cemiplimab	ANTINEOPLASTIC,OTHER
Cemiplimab	ANTINEOPLASTIC,OTHER
AGI-134	
AGI-134Pembrolizumab	
DS6051b	
BAY86-9766	
BAY86-9766	
Pyrotinib	
Topotecandoxorubicin	
TaporfinSodium	
IsatuximabSAR650984	
CemiplimabREGN2810	
MLN2480	
leronlimab	
leronlimab	
leronlimab	
leronlimab	
SU011248Capecitabine	
PDR001	
PDR001	
PDR001	
PDR001	
MGN1601	
Selinexor	
CC-115	
CC-115	
CC-115	
SB939	
SB939	
SB939	
TherapyWBRTsequentialDepocyte	
radiotherapyWBRTDepocyte	
BAL101553	
BAL101553	
ASTX029	
ALT-803	
ALT-803	
ASN007	
ASN007	
AZD4877	
AZD4877	
AZD4877	
Pimasertib	
EverolimusPanitumumab	
AutologousADP-A2M4CD8	
glioblastomavaccineIMA950	
PROSTVAC-V	
PROSTVAC-F	
PROSTVAC-F	
Neoantigenvaccine	
EC0489	
EC0489	
EC20	
EC20	
NexavarSorafenibBAY43-9006	
BAL101553	
SGM-101	
Vintafolide	
Vintafolide	
Avelumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
L19IL2	
MGD007MGA012	
Satoreotidetetraxetan	
LGX818	
LGX818	
LGX818	
MEK162	
MEK162	
MEK162	
MEK162	
TKI258	
TKI258	
TisotumabvedotinHuMax-TF-ADC	
TQ-B3203	
Sym015	
GSK2141795	
GSK2141795	
Durvalumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
EC0225Folichydrazide	
Folicacid-technetium	
CORT125134nab-paclitaxel	
PF-04518600	
PF-04518600	
PF-04518600PF-05082566	
COTI2	
COTI2	
COTI2	
Thiarabine	
Thiarabine	
Thiarabine	
Thiarabine	
Thiarabine	
Thiarabine	
MLN6907	
LOAd703	
Vitamin	
CDX-1127	
CDX-1127	
RGX-202-01	
INC280	
INC280	
INC280	
INC280	
INC280	
erlotinibhydrochloride	
Tegavivint	
Tegavivint	
Tegavivint	
ODM-209	
vantictumab	
MPC-6827	
MPC-6827	
TalimogeneLaherparepvec	
ACY-1215	
TalaporfinSodium	
lapatinibtemozolomide	
racotumomab	
racotumomab	
AT-101	
IDE196	
itacitinib	
INCB050465	
PT-112	
avelumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
IPI-504	
IPI-504	
Alisertib	
Pazopanib	Protein kinase inhibitors|ANTINEOPLASTIC,OTHER|Vascular Endothelial Growth Factor Receptor Inhibitors|Cytochrome P450 2C8 Inhibitors|Platelet-derived Growth Factor Receptor Inhibitors|Cytochrome P450 2D6 Inhibitors|Protein Kinase Inhibitors|Kinase Inhibitor|Cytochrome P450 3A4 Inhibitors
V935	
V934-EP	
Trametinibpediatric	
LY3039478	
LY3039478	
LY3039478	
Taladegib	
Abemaciclib	Protein kinase inhibitors|Kinase Inhibitor|ANTINEOPLASTIC,OTHER|Kinase Inhibitors
LY3023414	
LY3023414	
LY3023414	
NPI-2358docetaxel	
CORT125281	
EnzalutamideXtandi	
VB10.NEO	
RAD001DocetaxelBevacizumab	
RogaratinibBAY1163877	
IMC-001	
SRA737	
Epacadostat	
Lirilumab	
INCB053914	
I-DACcytarabine	
Epacadostat	
erlotinibhydrochloride	
LY2784544	
LY2784544	
LY2784544	
FruquintinibSintilimab	
OMO-1	
erlotinibsunitinib	
durvalumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
Cabozantinib	Protein kinase inhibitors|Tyrosine Kinase Inhibitors|ANTINEOPLASTIC,OTHER|Protein Kinase Inhibitors|Kinase Inhibitor
Cabozantinib	Protein kinase inhibitors|Tyrosine Kinase Inhibitors|ANTINEOPLASTIC,OTHER|Protein Kinase Inhibitors|Kinase Inhibitor
Durvalumab	ANTINEOPLASTIC,OTHER|Programmed Death Ligand-1-directed Antibody Interactions|Monoclonal antibodies|Programmed Death Ligand-1 Antagonists|Programmed Death Ligand-1 Blocker
pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
GM-CSFGM-CSFJX-594	
NaptumomabestafenatoxABR-217620durvalumabIMFINZIMEDI4736	
grapiprantpembrolizumab	
TSD-001	
PLX3397	
PLX3397	
PLX3397	
RegorafenibStivargaBAY73-4506	
CetuximabERBITUX	
TemsirolimusPazopanib	
CXD101Nivolumab	
BMS-986253	
TAS-120	
TAS-120	
TAS-120	
ATOR-1015	
Nal-Irinotecan	
PX-478	
PX-478	
PX-478	
GZ17-6.02	
TisotumabVedotinHuMax-TF-ADC	
VCN-01	
Abraxane®	
erlotinibhydrochloride	
ADCT-301	
AB928	
AB928	
AB928	
AB928	
AB122	
AB122	
AB122	
AB122	
FP-1305	
GM-CSFGM-CSFJX-594	
RheniumP2045BAY86-5284	
INBRX-105PDL1x41BBantibody	
Enfortumabvedotin	
BMS-986277	
BMS-986242	
Tivantinib	
FOLFOX	
FOLFOX	
PT-112	
BMS-986253	
CetuximabCarboplatin/Gemcitabine	
YN968D1	
YN968D1	
YN968D1	
CAN04	
AV-299gefitinib	
AB154	
AB122	
AB122	
AB122	
AB122	
MK-0646	
MK-0646	
ALKS	
ALKSpembrolizumab	
Toca	
NOX66	
brentuximabvedotin	
Pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
M7824	
BYL719	
BYL719	
BYL719	
BYL719	
MEK162	
MEK162	
MEK162	
MEK162	
SRA737gemcitabinecisplatin	
SRA737gemcitabine	
OSI-906	
OSI-906	
OSI-906	
Indoximod	
REGN1400	
IsatuximabSAR650984	
THOR-707	
Checkpointinhibitor	
ROBO1CAR-NK	
C-14Rucaparib	
TPST-1120	
TPST-1120nivolumab	
TPST-1120docetaxel	
TPST-1120cetuximab	
TPST-1120	
TPST-1120nivolumab	
TPST-1120docetaxel	
TPST-1120cetuximab	
ADC-1013	
ADC-1013	
Enzalutamide	ANTINEOPLASTIC,OTHER|Cytochrome P450 2C9 Inducers|Anti-androgens|Cytochrome P450 2C19 Inducers|Androgen Receptor Antagonists|Cytochrome P450 3A4 Inducers|Androgen Receptor Inhibitor
Interleukin-21	
Interleukin-21	
Interleukin-21	
STRO-002	
ALIMTA	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
PT2977	
ARRY-380HER2inhibitor	
LOXO-292	
2-hydroxyoleic	
CAB-ROR2-ADC	
BAY2731954	
Vaccine	
GX-I7	
LAG525	
LAG525	
PDR001	
PDR001	
PDR001	
PDR001	
ARRY-382	
SG001	
MKC-1	
MKC-1	
MKC-1	
pemetrexed	Protein Synthesis Inhibitors|Thymidylate Synthetase Inhibitors|Dihydrofolate Reductase Inhibitors|Folic Acid Metabolism Inhibitors|ANTINEOPLASTICS,ANTIMETABOLITES|Folate Analog Metabolic Inhibitor|Folic acid analogues
BVD-523	
JNJ-63723283	
GR-MD-02	
MP0250	
GRT-C903	
GRT-R904	
anti-PD-	
RV001V	
ODM-207	
BMS-986288	
MG005	
RO5503781	
RO5503781	
RO5503781	
Enzalutamide	ANTINEOPLASTIC,OTHER|Cytochrome P450 2C9 Inducers|Anti-androgens|Cytochrome P450 2C19 Inducers|Androgen Receptor Antagonists|Cytochrome P450 3A4 Inducers|Androgen Receptor Inhibitor
MetforminHydrochloride	
JI-101	
ABTL0812paclitaxelcarboplatin	
RC48-ADC	
ADI-PEGFOLFOX6	
BevacizumabEverolimusLBH589	
ZSP1602	
131-I-TM-601chlorotoxin	
LarotrectinibVitravkiBAY2757556	
