cleaned_up_drug,class_drug_info,class_umls
Anti-B1,,
B-Cell,,
Lymphomas,,
Tositumomab,Antineoplastic Agents,
ONO/GS-4059,,
Iodine-131,,
5-drug,,
regimen,,
DCC-2036,,
SAR3419,,
L-0501,,
Inotuzumab,,
CMC-544,Antineoplastic Agents,
SEL120,,
CAT-8015,Antineoplastic Agents,
Moxetumomab,,
Pasudotox,,
Everolmus,,
CAR-GPC3,,
SBS-101,,
Dengue-1,,
melanoma,,
lysate,,
AME-133v,,
LY2469298,,
Follicular,,
Lymphoma,,
polyamine,,
PG11047,,
ADU-1604,,
UV1/GM-CSF,,
H3B-8800,,
BCD-145,,
ECI-006,,
TBX-3400,,
SX-682,,
GRN-1201,,
RO7070179,,
eftilagimod,,
PF-06840003,,
CAVATAK,,
cis-platinum,Antineoplastic Agents|Cross-Linking Reagents|Drug / Therapeutic Agent|Human Data|Mutation Data|Radiation-Sensitizing Agents|Reproductive Effect|Tumor Data|Indicators and Reagents,
GLA-SE,,
COMBIG-DC,,
AGS-16C3F,,
SGN-75,,
2-OHOA,,
MB-CART2019.1,,
MDX-1203,,
Microtubule-Targeted,,
epitinib,,
succinate,,
succinate,Mutation Data|Skin / Eye Irritant,
OKN-007,,
DEDN6526A,,
BMS-982470,,
interleukin-21,,
CAN008,,
RO5185426,Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors,
RO5185426,,
IMC-20D7S,,
5-Azacytidine,"Antimetabolites, Antineoplastic|Drug / Therapeutic Agent|Enzyme Inhibitors|Human Data|Mutation Data|Reproductive Effect|Skin / Eye Irritant|Tumor Data|Antimetabolites|Antineoplastic Agents|Noxae",
AS1409,,
NVX-108,Contrast Media|Diagnostic Uses of Chemicals,
ICT-121,,
PTI-6D2,,
GC1008,,
_Beta,,
lomustine,"Antineoplastic Agents, Alkylating|Drug / Therapeutic Agent|Human Data|Mutation Data|Reproductive Effect|Tumor Data|Alkylating Agents|Antineoplastic Agents|Noxae",
Tc99m-tilmanocept,,
PF00299804,,
trebananib,Growth Substances|Angiogenesis Inhibitors|Angiogenesis Modulating Agents|Antineoplastic Agents|Growth Inhibitors,
Genasense®,,
oblimersen,"Antineoplastic Agents|Molecular Probes|Oligodeoxyribonucleotides, Antisense|Oligonucleotides, Antisense",
DTIC,"Antineoplastic Agents, Alkylating|Drug / Therapeutic Agent|Human Data|Mutation Data|Reproductive Effect|Tumor Data|Alkylating Agents|Antineoplastic Agents|Noxae",
CP-461,,
Xenogeneic,,
Tyrosinase,TSCA Flag XU (Exempt from Reporting under Chemical Data Reporting Rule),
PEG-Intron,Antiviral Agents|Anti-Infective Agents,
Coxsackievirus,,
188Re-PTI-6D2,,
CTNX-4975,,
#NAME?,,
AK002,,
VCL-IM01,,
Electroporation,,
Synchrotope,,
TA2M,,
SNS-301,,
gp75,,
CD19-CAR-T,,
CC-8490,,
PZ01,,
ruxolitinib,Antineoplastic Agents,
AZD1480,,
Mercaptopurine,"Antimetabolites|Antimetabolites, Antineoplastic|Drug / Therapeutic Agent|Human Data|Immunosuppressive Agents|Mutation Data|Nucleic Acid Synthesis Inhibitors|Reproductive Effect|Tumor Data|Antineoplastic Agents|Enzyme Inhibitors|Immunologic Factors|Noxae",
Mercaptopurine,"Mutation Data|Reproductive Effect|Antimetabolites|Antimetabolites, Antineoplastic|Antineoplastic Agents|Enzyme Inhibitors|Immunologic Factors|Immunosuppressive Agents|Noxae|Nucleic Acid Synthesis Inhibitors",
Pegaspargase,Antineoplastic Agents,
Thioguanine,"Antimetabolites, Antineoplastic|Drug / Therapeutic Agent|Mutation Data|Reproductive Effect|Skin / Eye Irritant|Antimetabolites|Antineoplastic Agents|Noxae",
Thioguanine,"Antimetabolites|Antimetabolites, Antineoplastic|Antineoplastic Agents|Noxae",
CAR19,,
cytoplasmic,,
CD19-directed,,
R-ICE,,
R-ICE,Natural Product,
SGN-CD19A,,
semaxanib,Tyrosine Kinase Inhibitors|Angiogenesis Inhibitors|Angiogenesis Modulating Agents|Antineoplastic Agents|Enzyme Inhibitors|Growth Inhibitors|Growth Substances|Protein Kinase Inhibitors,
collagenase,TSCA Flag XU (Exempt from Reporting under Chemical Data Reporting Rule),
clostridium,,
histolyticum,,
SHP-141,,
Anti-GRP78,,
PAT-SM6,,
Mapatumumab,Antineoplastic Agents,
methylprednisolone,"Antiemetics|Drug / Therapeutic Agent|Human Data|Neuroprotective Agents|Anti-Inflammatory|Immunosuppressant|Adrenal Cortex Hormones|Anti-Inflammatory Agents|Autonomic Agents|Central Nervous System Agents|Gastrointestinal Agents|Glucocorticoids|Hormones|Hormones, Hormone Substitutes, and Hormone Antagonists|Peripheral Nervous System Agents|Protective Agents",
Perillyl,,
Donafenib,,
Ofatumumab,Antineoplastic Agents,
PEG-Asparaginase,Antineoplastic Agents,
Progenta,,
Lucron,,
ABX-1431,,
Bexxar,Antineoplastic Agents,
Alemtuzumab,"Antineoplastic Agents|Antirheumatic Agents|Antineoplastic Agents, Immunological",
Intron,,
Vancomycin,Drug / Therapeutic Agent|Human Data|Natural Product|Anti-Bacterial Agents|Anti-Infective Agents,
pretreatment,,
SER-401,,
alemtuzumab,"Antineoplastic Agents|Antirheumatic Agents|Antineoplastic Agents, Immunological",
PF-06688992,,
interferon,Antineoplastic Agents|Antiviral Agents|Mutation Data|Anti-Infective Agents,
High-dose,,
PF-06439535,,
DNX-2440,,
Anti-GITR,,
Ch14.18,Antineoplastic Agents,
KB004,,
PF-05280014,"Antineoplastic Agents|Antineoplastic Agents, Immunological",
Sylatron,Antiviral Agents|Anti-Infective Agents,
hu3F8,,
rIL-2,Anti-HIV Agents|Antineoplastic Agents|Drug / Therapeutic Agent|Anti-Infective Agents|Anti-Retroviral Agents|Antiviral Agents,
PolyMVA,,
Interferon-Alfa,,
GP-100,Mutation Data|Tumor Data|TSCA Flag XU (Exempt from Reporting under Chemical Data Reporting Rule),
AC480,,
PeproStat,,
Anti-CD19m-CD3,,
CPI-818,,
JNJ-67856633,,
CG-806,,
Tisagenlecleucel,,
DTRMWXHS-12,,
TG-1801,,
Loncastuximab,,
JHL1101,,
MS-533,,
ET190L1,,
ARTEMIS,,
VAY736,,
ICAR30,,
ICAR19,,
CHO-H01,,
HLX01,,
ACTR707,,
Hexal,,
Gazyvaro,,
C-CAR-011,,
UCART19,,
Zanubrutinib,,
DTRM-505,,
DTRM-555,,
Chidamide,,
adriacin,Drug / Therapeutic Agent|Human Data|Mutation Data|Reproductive Effect|Tumor Data,
KA2237,,
BCL201,,
LAM-002A,,
IPH4102,,
Cobomarsen,,
BTCT4465A,,
Chlorambucil,"Antineoplastic Agents, Alkylating|Drug / Therapeutic Agent|Human Data|Mutation Data|Reproductive Effect|Tumor Data|Alkylating Agents|Antineoplastic Agents|Noxae",
YTB323,,
ABL001+imatinib,,
ABL001+dasatinib,,
CB-Aza,,
CC-292,,
GDC-0853,,
Brentuximab,,
IMMU-114,,
SP-02L,,
TRU-016,,
Jun-20,,
idelalisib,Antineoplastic Agents|Enzyme Inhibitors,
Oct-20,,
IMGN529,,
mcg/kg/day,,
TXA127,Cardiovascular Agents|Vasodilator Agents|Antihypertensive Agents,
interferon-alfa,,
DCDT2980S,,
JNJ-67571244,,
CYC140,,
XmAb5574,,
LFB-R603,,
ISF35,,
Rituxan,"Antineoplastic Agents|Antirheumatic Agents|Immunologic Factors|Antineoplastic Agents, Immunological",
anti-CD37,,
XmAb2513,,
tositumomab,Antineoplastic Agents,
Erwinase,Antineoplastic Agents,
INNO-406,Enzyme Inhibitors|Protein Kinase Inhibitors,
BL22,,
immunotoxin,,
MK0457,Antineoplastic Agents,
CAR-CD19,,
NMS-03592088,,
MG4101,,
Rituxumab,,
BI1206,,
IDEC-152,,
TriCAR-T-CD19,,
Luitpold,,
Vidaza®,,
TQB2303,,
BP1001,,
eltrombopag,,
olamine,Agricultural Chemical|Mutation Data|Reproductive Effect|Skin / Eye Irritant,
Ocrelizumab,Immunologic Factors,
Axicabtagene,,
Ciloleucel,,
Utomilumab,,
KTE-C19,Antineoplastic Agents,
KTE-X19,,
Astarabine,,
BST-236,,
DI-Leu16-IL2,,
axicabtagene,,
ciloleucel,,
sapacitabine,Antineoplastic Agents,
lintuzumab,"Antineoplastic Agents|Antineoplastic Agents, Immunological",
Pinatuzumab,,
DA-EPOCH-R,,
ITF2357,Histone Deacetylase Inhibitors|Enzyme Inhibitors,
Cu-64,,
SARTATE,,
Cu-67,,
veltuzumab,Antineoplastic Agents,
IDEC-114,Immunomodulator|Monoclonal Antibody|Anti-Inflammatory Agents|Antineoplastic Agents,
Z650,,
ABX196,,
GT90001,,
LioCyx,,
hA20-humanized,,
O6-BG,,
omega-3-acid,,
Pexa,,
Cerebraca,,
DCB-BO1301,,
PegIFN-2b,,
epratuzumab,"Antineoplastic Agents|Antineoplastic Agents, Immunological",
erdafitinib,,
67Cu-SARTATE,,
64Cu-SARTATE,,
Omaveloxolone,,
mg/capsule,,
Dalantercept,,
MN-166,Bronchodilator Agents|Drug / Therapeutic Agent|Platelet Aggregation Inhibitors|Reproductive Effect|Vasodilator Agents|Anti-Asthmatic Agents|Autonomic Agents|Cardiovascular Agents|Enzyme Inhibitors|Hematologic Agents|Peripheral Nervous System Agents|Phosphodiesterase Inhibitors|Respiratory System Agents,
13-Cis,,
Retinoic,,
CD20-directed,,
PF04518600,,
phase2,,
BSG-001,,
INXN-2001,,
iPD1,,
ACP-196,,
CF102,Neurotransmitter Agents|Purinergic Agents|Purinergic P1 Receptor Agonists|Purinergic Agonists,
Orantinib,Enzyme Inhibitors|Protein Kinase Inhibitors,
TSU-68,Enzyme Inhibitors|Protein Kinase Inhibitors,
Z-208,,
DHAP,,
rIL-21,,
ch14.18,Antineoplastic Agents,
#NAME?,,
ch14.18-UTC,Antineoplastic Agents,
Granulocyte-Macrophage,,
Istodax,"Antibiotics, Antineoplastic|Drug / Therapeutic Agent|Natural Product|Antineoplastic Agents",
CD5789,Dermatologic Agents,
Zalcitabine,Anti-HIV Agents|Antimetabolites|Drug / Therapeutic Agent|Mutation Data|Reproductive Effect|Reverse Transcriptase Inhibitors|Tumor Data|Antiretroviral|Anti-Infective Agents|Anti-Retroviral Agents|Antiviral Agents|Enzyme Inhibitors|Noxae|Nucleic Acid Synthesis Inhibitors,
Didanosine,Anti-HIV Agents|Antimetabolites|Drug / Therapeutic Agent|Human Data|Mutation Data|Reverse Transcriptase Inhibitors|Anti-Infective Agents|Anti-Retroviral Agents|Antiviral Agents|Enzyme Inhibitors|Noxae|Nucleic Acid Synthesis Inhibitors,
CYT004-MelQbG10,,
NPC-08,,
ifosphamide,,
STA-4783,,
PRGN-3006,,
Lenalidomida,,
Detox-B,,
verteporfin,Photosensitizing Agents|Dermatologic Agents|Radiation-Sensitizing Agents,
MKC1106-MT,,
Intranodal,,
Ad-ISF35,,
CX-01,,
S64315,,
PEG-P-INF,,
alpha-2b,,
PBCAR0191,,
CART-19/22,,
LOXO-305,,
Cervarix,Vaccines,
AUTO3,,
CD19/22,,
BinD19,,
methotrexate/hydrocortisone/cytarabine,,
Momelotinib,Enzyme Inhibitors|Protein Kinase Inhibitors,
Asparaginase,Drug / Therapeutic Agent|Human Data|Natural Product|Reproductive Effect|Tumor Data|Antineoplastic Agents,
Cal-1,,
LVsh5/C46,,
BrentuximabVedotin,,
CYT387,Enzyme Inhibitors|Protein Kinase Inhibitors,
BeEAM,,
IMO-8400,,
mg/kg/wk,,
Sorafenib-Vorinostat,,
Soludomerin,,
BCNU,"Antineoplastic Agents, Alkylating|Drug / Therapeutic Agent|Human Data|Mutation Data|Reproductive Effect|Tumor Data|Alkylating Agents|Antineoplastic Agents|Noxae",
C-1101,,
PACTN,,
Methylprednisone,Hormone|Reproductive Effect,
Methylprednisone,,
Zolinza,Antitumor Agent|Histone Deacetylase Inhibitor|Antineoplastic Agents|Enzyme Inhibitors|Anticarcinogenic Agents|Histone Deacetylase Inhibitors,
C.E.R.A,,
carmustine,"Antineoplastic Agents, Alkylating|Drug / Therapeutic Agent|Human Data|Mutation Data|Reproductive Effect|Tumor Data|Alkylating Agents|Antineoplastic Agents|Noxae",
NEOD001,,
I-131,,
MG/ML,,
VIDAZA,"Antimetabolites, Antineoplastic|Drug / Therapeutic Agent|Enzyme Inhibitors|Human Data|Mutation Data|Reproductive Effect|Skin / Eye Irritant|Tumor Data|Antimetabolites|Antineoplastic Agents|Noxae",
Mofetil,,
L-1101,,
Interferon-Alpha,,
Interferon-Alpha,Drug / Therapeutic Agent|Human Data,
Ibritumomab,,
tiuxetan,,
polyICLC,Interferon Inducers|Immunologic Factors,
CLOFARABINE,"Antineoplastic Agents|Mutation Data|Antimetabolites|Antimetabolites, Antineoplastic|Noxae",
CDX-3379,,
ERBB3,,
Trans-arterial,,
chemoembolization,,
APG101,,
All-Trans,,
ARRY-614,,
p38/Tie2,,
BGB324+pembrolizumab,,
BGB324+dabrafenib,,
dabrafenib,Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors,
Nab-Rapamycin,,
Terameprocol,,
Ezatiostat,,
Revlimid®,,
Peginterferon,,
JNJ-30979754,"Antimetabolites, Antineoplastic|Drug / Therapeutic Agent|Enzyme Inhibitors|Mutation Data|Reproductive Effect|Teratogens|Antimetabolites|Antineoplastic Agents|Noxae",
Mebendazole,Antinematodal Agents|Drug / Therapeutic Agent|Mutation Data|Reproductive Effect|Anthelmintics|Anti-Infective Agents|Antimitotic Agents|Antiparasitic Agents|Mitosis Modulators|Tubulin Modulators,
CRISPR,,
Pfu/Ml,,
"Susp,1Ml",,
Laherparep,,
Minocycline,Drug / Therapeutic Agent|Human Data|Mutation Data|Natural Product|Anti-Bacterial Agents|Anti-Infective Agents,
Sertraline,Antidepressive Agents|Drug / Therapeutic Agent|Human Data|Serotonin Uptake Inhibitors|Central Nervous System Agents|Neurotransmitter Agents|Neurotransmitter Uptake Inhibitors|Psychotropic Drugs|Serotonin Agents|Membrane Transport Modulators,
Captopril,Angiotensin-Converting Enzyme Inhibitors|Antihypertensive Agents|Drug / Therapeutic Agent|Human Data|Reproductive Effect|Cardiovascular Agents|Enzyme Inhibitors|Protease Inhibitors,
Auranofin,Human Data|Mutation Data|Reproductive Effect|Antirheumatic Agents,
Palonosetron,Serotonin Antagonists|Neurotransmitter Agents|Serotonin Agents|Antiemetics|Central Nervous System Agents|Gastrointestinal Agents|Peripheral Nervous System Agents|Serotonin 5-HT3 Receptor Antagonists,
RG7388,,
Pegasys,Antiviral Agents|Anti-Infective Agents,
Rapamune,"Antibiotics, Antineoplastic|Drug / Therapeutic Agent|Immunosuppressive Agents|Mutation Data|Natural Product|Anti-Bacterial Agents|Antifungal Agents|Anti-Infective Agents|Antineoplastic Agents|Immunologic Factors",
PBCAR20A,,
ALLO-501,,
ALLO-647,,
L-0501RI,,
TAC01-CD19,,
GEN3013,,
DuoBody®-CD3xCD20,,
AUTO4,,
Avadomide,,
BNZ132-1-40,,
PCAR-019,,
anti-CD19-CAR-T,,
Ulocuplumab,,
monalizumab,,
ublituximab,,
Cerdulatinib,,
PRT062070,,
fimepinostat,,
Radotinib,,
mcg/kg,,
asparaginase,Drug / Therapeutic Agent|Human Data|Natural Product|Reproductive Effect|Tumor Data|Antineoplastic Agents,
Acadesine,,
fostamatinib,,
APO866,,
motexafin,,
gadolinium,Tumor Data,
SPC2996,,
Lumiliximab,,
IGF/MTX,,
PF-3512676,,
vosaroxin,,
Laser,Drug / Therapeutic Agent|Human Data|Reproductive Effect,
Laser,Agricultural Chemical|Herbicide,
157-165,,
gp100,Mutation Data|Tumor Data|TSCA Flag XU (Exempt from Reporting under Chemical Data Reporting Rule),
MART-1,,
Oncovir,,
poly,,
Duvelisib,,
B-MAD,,
rhuFlt3L/CDX-301,,
CMC544,Antineoplastic Agents,
Oxaliplatine,,
Carboplatine,Antineoplastic Agents|Drug / Therapeutic Agent|Mutation Data|Reproductive Effect|Cross-Linking Reagents|Indicators and Reagents,
Adcetris-Levact,,
GA101/HDMP,,
azacytidine,"Antimetabolites, Antineoplastic|Drug / Therapeutic Agent|Enzyme Inhibitors|Human Data|Mutation Data|Reproductive Effect|Skin / Eye Irritant|Tumor Data|Antimetabolites|Antineoplastic Agents|Noxae",
Solu-medrol,Drug / Therapeutic Agent|Hormone|Human Data|Reproductive Effect,
Lenograstim,"Adjuvants, Immunologic|Drug / Therapeutic Agent|Human Data|Natural Product|Immunologic Factors|Hematologic Agents",
bexarotene,Anticarcinogenic Agents|Antineoplastic Agents|Protective Agents,
DEC-205/NY-ESO-1,,
OPN-305,,
MTX110,,
Convection-Enhanced,,
MCPyV,,
TAg-specific,,
Polyclonal,,
ALDHbr,,
erythropoietin,Mutation Data|Hematinics|Hematologic Agents,
#NAME?,,
Hydrochlorine,,
Veregen,,
TLK199,,
E7727/Decitabine,,
IDH-1,,
GS-9191,,
Bendamustin,,
Anti-CD19CAR-4-1BB-CD3zeta-EGFRt-expressing,,
JCAR014,,
AP611074,,
Eltrombopag,,
Apixaban,Anticoagulants|Hematologic Agents|Antithrombins|Enzyme Inhibitors|Factor Xa Inhibitors|Protease Inhibitors|Serine Proteinase Inhibitors,
Ad-CCL21-DC,,
nanoliposomal,,
IMA970A,,
MELITAC,,
lipopolysaccharide,Mutation Data|Reproductive Effect,
VORINOSTAT,Antitumor Agent|Histone Deacetylase Inhibitor|Antineoplastic Agents|Enzyme Inhibitors|Anticarcinogenic Agents|Histone Deacetylase Inhibitors,
Candida,,
R-CHOP,,
BSL_EP044,,
Lactobacillus,TSCA Flag XU (Exempt from Reporting under Chemical Data Reporting Rule)|TSCA UVCB,
Lactobacillus,,
BSL_PS6,,
Campath-1H,"Antineoplastic Agents|Antirheumatic Agents|Antineoplastic Agents, Immunological",
treosulfan,"Antineoplastic Agents, Alkylating|Mutation Data|Tumor Data|Alkylating Agents|Antineoplastic Agents|Noxae",
Nowarta110,,
CLS003,,
Ranpirnase,Antineoplastic Agents|Enzyme Inhibitors|Protein Synthesis Inhibitors,
AS101,"Drug / Therapeutic Agent|Immunomodulator|Adjuvants, Immunologic|Anti-Infective Agents|Antineoplastic Agents|Antiviral Agents|Immunologic Factors|Protective Agents|Radiation-Protective Agents",
TN-TC11G,,
Valomaciclovir,Antivirals,
AdE1-,,
CTLs,,
hu14.18-IL2,,
LR-ESHAP,,
CD19.CAR-T,,
questionnaire,,
Lorlatinib,Antineoplastic Agents,
Trivirus,,
Adenovirus,,
Reparixin,,
NeuVax,,
gemcitabine/carboplatin,,
HSP-130,,
Bempegaldesleukin,,
Dutasteride,"Enzyme Inhibitors|5-alpha Reductase Inhibitors|Hormone Antagonists|Hormones, Hormone Substitutes, and Hormone Antagonists|Urological Agents|Steroid Synthesis Inhibitors",
OSI-211,Antineoplastic Agents,
Lurtotecan,Antineoplastic Agents,
NanoPac®,,
SFX-01,,
GSK3145095,,
AE37,,
ZALTRAP®,,
Selumetinib+Docetaxel,,
TAS-108,,
Leuprorelin,"Antineoplastic Agents, Hormonal|Fertility Agents, Female|Hormone|Human Data|Reproductive Effect|Antineoplastic Agents|Fertility Agents|Reproductive Control Agents",
Leuporelin,,
MK8669,,
open-label,,
l-LV,,
Tapentadol,"Adrenergic Agents|Adrenergic Uptake Inhibitors|Analgesics|Analgesics, Opioid|Central Nervous System Agents|Central Nervous System Depressants|Membrane Transport Modulators|Narcotics|Neurotransmitter Agents|Neurotransmitter Uptake Inhibitors|Peripheral Nervous System Agents|Sensory System Agents",
catumaxomab,Gastrointestinal Agents,
ASP1650,,
OTL38,,
G17DT,,
demcizumab,,
eFT508,,
MCLA-128,,
2X-121,,
TALAZOPARIB,Antineoplastic Agents|Enzyme Inhibitors|Poly(ADP-ribose) Polymerase Inhibitors,
Aromasin,"Antineoplastic Agents|Enzyme Inhibitors|Antineoplastic|Aromatase Inhibitors|Estrogen Antagonists|Hormone Antagonists|Hormones, Hormone Substitutes, and Hormone Antagonists|Steroid Synthesis Inhibitors",
BPM31510,,
Nanosuspension,,
IMUNO,,
Moreau,,
Seribantumab,,
Estetrol,,
rubitecan,Antineoplastic Agents|Enzyme Inhibitors|Topoisomerase I Inhibitors|Topoisomerase Inhibitors,
rubitecan,Antineoplastic Agents,
rhApo2L/TRAIL,,
SU011248/Trastuzumab,,
FluidCrystal®,,
galeterone,Enzyme Inhibitors,
abituzumab,,
XRP9881,,
apatinib,,
ramucirumab,Antineoplastic Agents,
epidoxorubicin,"Drug / Therapeutic Agent|Mutation Data|Antibiotics, Antineoplastic|Antineoplastic Agents|Enzyme Inhibitors|Topoisomerase II Inhibitors|Topoisomerase Inhibitors",
DCVAC/PCa,,
Orteronel+Prednisone,,
Megestrol,"Antineoplastic Agents, Hormonal|Contraceptives, Oral, Synthetic|Hormone|Antineoplastic Agents|Contraceptive Agents|Contraceptive Agents, Female|Contraceptives, Oral|Reproductive Control Agents",
LY2181308,,
Phenoxodiol,,
Poly-gamma,,
Glutamic,,
TOCOSOL,,
Alcohol-free,,
Desulfated,,
Heparin,Anticoagulants|Drug / Therapeutic Agent|Fibrinolytic Agents|Human Data|Mutation Data|Natural Product|Reproductive Effect|Cardiovascular Agents|Fibrin Modulating Agents|Hematologic Agents,
IRESSA,,
Icrucumab,,
BAY59-8862,Antineoplastic Agents,
Cytotoxic,,
bavituximab,"Antineoplastic Agents|Antineoplastic Agents, Immunological",
HyperAcute,,
#NAME?,,
NSAI,,
chiauranib,,
Plenaxis,"Hormone Antagonists|Hormones, Hormone Substitutes, and Hormone Antagonists",
GX301,,
paclitaxel-loaded,,
polymeric,,
micelle,,
ABR-215050,,
tasquinimod,,
Irofulven,"Natural Product|Alkylating Agents|Antineoplastic Agents|Antineoplastic Agents, Alkylating|Noxae|Radiation-Sensitizing Agents",
valrubicin,Drug / Therapeutic Agent|Mutation Data|Antineoplastic Agents|Enzyme Inhibitors|Topoisomerase II Inhibitors|Topoisomerase Inhibitors,
RO5217790,,
DHP107,"Antineoplastic Agents, Phytogenic|Drug / Therapeutic Agent|Human Data|Reproductive Effect|Antimitotic Agents|Antineoplastic Agents|Mitosis Modulators|Tubulin Modulators",
CDX-011,"Antineoplastic Agents|Antineoplastic Agents, Immunological",
Serine,Mutation Data,
Serine,,
Proteinase,Natural Product|TSCA Flag XU (Exempt from Reporting under Chemical Data Reporting Rule),
WX-671,,
necitumumab,"Antineoplastic Agents|Antineoplastic Agents, Immunological",
V3-MOMMO,,
ASP3550,,
MB-6,,
Bafetinib,Enzyme Inhibitors|Protein Kinase Inhibitors,
Neulasta,Antineoplastic Agents|Pegylated Protein,
Aranesp,Hematinics|Hematologic Agents,
YMB1002,Histamine Antagonists|Platelet Aggregation Inhibitors|Hematologic Agents|Histamine Agents|Neurotransmitter Agents,
metyrosine-derivative,,
phenytoin,Anticonvulsants|Drug / Therapeutic Agent|Human Data|Mutation Data|Reproductive Effect|Tumor Data|Central Nervous System Agents|Cardiovascular Agents|Membrane Transport Modulators|Sodium Channel Blockers|Voltage-Gated Sodium Channel Blockers|Cytochrome P-450 CYP1A2 Inducers|Metabolic Side Effects of Drugs and Substances,
methoxsalen,Drug / Therapeutic Agent|Mutation Data|Photosensitizing Agents|Reproductive Effect|Tumor Data|Cross-Linking Reagents|Dermatologic Agents|Indicators and Reagents|Radiation-Sensitizing Agents,
FEC75,,
apricoxib,,
Lonaprisan,,
BAY86-5044,,
BP-C2,,
Ad5CMV-p53,,
Vicriviroc,,
EndoTAG-1,"Antineoplastic Agents, Phytogenic|Drug / Therapeutic Agent|Human Data|Reproductive Effect|Antimitotic Agents|Antineoplastic Agents|Mitosis Modulators|Tubulin Modulators",
CEP-701,,
NOV-002,,
cixutumumab,,
tamoxifen,"Antineoplastic Agents, Hormonal|Drug / Therapeutic Agent|Estrogen Antagonists|Human Data|Mutation Data|Reproductive Effect|Tumor Data|Antineoplastic Agents|Bone Density Conservation Agents|Estrogen Receptor Modulators|Hormone Antagonists|Hormones, Hormone Substitutes, and Hormone Antagonists|Selective Estrogen Receptor Modulators",
arzoxifene,,
tartrate,"Adrenergic alpha-Agonists|Analgesics, Non-Narcotic|Drug / Therapeutic Agent|Human Data|Vasoconstrictor Agents|Adrenergic Agents|Adrenergic Agonists|Analgesics|Cardiovascular Agents|Central Nervous System Agents|Neurotransmitter Agents|Peripheral Nervous System Agents|Sensory System Agents|Adrenergic alpha-1 Receptor Agonists|Oxytocics|Reproductive Control Agents|Serotonin Agents|Serotonin Receptor Agonists",
CBLB612,,
glutamate-paclitaxel,,
THERATOPE®,,
NX-1207,,
V3-OVA,,
ovarian,,
Lasofoxifene,Estrogen Receptor Modulator,
Carlumab,,
Tomudex,"Antimetabolites, Antineoplastic|Enzyme Inhibitors|Folic Acid Antagonists|Antimetabolites|Antineoplastic Agents|Noxae",
OCZ103-OS,,
2-hydroxyethanesulfonate,,
Desmopressin,Antidiuretic Agents|Coagulants|Hematologic Agents|Hemostatics|Natriuretic Agents,
Streptozotocin,"Antibiotics, Antineoplastic|Drug / Therapeutic Agent|Human Data|Mutation Data|Reproductive Effect|Tumor Data|Antineoplastic Agents",
tacedinaline,,
Chemoradiation,,
Veledimex,,
Palifosfamide,"Antineoplastic Agents, Alkylating|Alkylating Agents|Antineoplastic Agents|Noxae",
sipuleucel-T,Antineoplastic Agents,
Ertafolide,,
vismodegib,Antineoplastic Agents,
Treosulfane,,
etoricoxib,"Anti-Inflammatory|COX-2 Inhibitor|Cyclooxygenase Inhibitors|Analgesics|Analgesics, Non-Narcotic|Anti-Inflammatory Agents|Anti-Inflammatory Agents, Non-Steroidal|Enzyme Inhibitors|Peripheral Nervous System Agents|Sensory System Agents|Cyclooxygenase 2 Inhibitors|Antirheumatic Agents",
pioglitazone,Hypoglycemic Agents,
lucitanib,,
PRX302,,
tavokinogene,,
telseplasmid,,
LHRHa,,
4-Demethyl-4-cholestryloxycarbonylpenclomedine,,
efaproxiral,Antisickling Agents|Hematologic Agents|Radiation-Sensitizing Agents,
efaproxiral,,
anti-FLT-1,,
ribozyme,,
Fixed-dose,,
SAR439281,,
hu3S193,,
ACT14884,,
Quinacrine,Anticestodal Agents|Antimalarials|Antinematodal Agents|Antineoplastic Agents|Drug / Therapeutic Agent|Enzyme Inhibitors|Human Data|Mutation Data|Reproductive Effect|Anthelmintics|Anti-Infective Agents|Antiparasitic Agents|Antiplatyhelmintic Agents|Antiprotozoal Agents,
CPC634,,
V3-Cervix,,
Avodart,"Enzyme Inhibitors|5-alpha Reductase Inhibitors|Hormone Antagonists|Hormones, Hormone Substitutes, and Hormone Antagonists|Urological Agents|Steroid Synthesis Inhibitors",
tomivosertib,,
ZARNESTRA,Antineoplastic Agents,
tipifarnib,Antineoplastic Agents,
Lyposomal,,
Lipiodol,,
Epidoxorubicin,"Drug / Therapeutic Agent|Mutation Data|Antibiotics, Antineoplastic|Antineoplastic Agents|Enzyme Inhibitors|Topoisomerase II Inhibitors|Topoisomerase Inhibitors",
taxane,Antineoplastic Agents,
Hormonal,,
Trifluridine/Tipiracil,,
KOS-1584,,
GTx-024,,
fosbretabulin,"Antineoplastic Agents|Antineoplastic Agents, Phytogenic",
tromethamine,Buffers|Drug / Therapeutic Agent|Excipients|Pharmaceutic Aids|Pharmaceutical Vehicles,
OPT-822/OPT-821,,
SAR2405550,,
#NAME?,Antineoplastic Agents|Enzyme Inhibitors|Poly(ADP-ribose) Polymerase Inhibitors,
Lanreotide,Antineoplastic Agents,
Autogel,Antineoplastic Agents,
AS1404,Antineoplastic Agents,
telotristat,,
CC-4047,Angiogenesis Inhibitors|Angiogenesis Modulating Agents|Antineoplastic Agents|Growth Substances|Immunologic Factors|Growth Inhibitors,
MYOCET®,,
